Player,country,Nation,Squad,Age,Weekly Wages,Annual Wages,Year,
Javier Hernández,mx, MEX,LA Galaxy,31,"$135,000 ","$7,020,000 ",2020,
Michael Bradley,us, USA,Toronto FC,32,"$115,385 ","$6,000,000 ",2020,
Jozy Altidore,us, USA,Toronto FC,30,"$94,063 ","$4,891,250 ",2020,
Carlos Vela,mx, MEX,LAFC,30,"$86,538 ","$4,500,000 ",2020,
Alejandro Pozuelo,es, ESP,Toronto FC,28,"$73,077 ","$3,800,000 ",2020,
Josef Martínez,ve, VEN,Atlanta United,26,"$58,808 ","$3,058,000 ",2020,
Sebastián Blanco,ar, ARG,Portland Timbers,31,"$54,885 ","$2,854,000 ",2020,
Nicolás Lodeiro,uy, URU,Seattle Sounders FC,30,"$48,115 ","$2,502,000 ",2020,
Diego Valeri,ar, ARG,Portland Timbers,33,"$46,538 ","$2,420,000 ",2020,
Rodolfo Pizarro,mx, MEX,Inter Miami,25,"$45,000 ","$2,340,000 ",2020,
Nani,pt, POR,Orlando City SC,33,"$44,872 ","$2,333,333 ",2020,
Carles Gil,es, ESP,New England Revolution,27,"$40,385 ","$2,100,000 ",2020,
Gustavo Bou,ar, ARG,New England Revolution,29,"$40,385 ","$2,100,000 ",2020,
Albert Rusnák,sk, SVK,Real Salt Lake,25,"$38,500 ","$2,002,000 ",2020,
Maximiliano Moralez,ar, ARG,New York City FC,32,"$38,462 ","$2,000,000 ",2020,
Jonathan dos Santos,mx, MEX,LA Galaxy,29,"$38,462 ","$2,000,000 ",2020,
Raúl Ruidíaz,pe, PER,Seattle Sounders FC,29,"$34,615 ","$1,800,000 ",2020,
Darwin Quintero,co, COL,Houston Dynamo,32,"$33,654 ","$1,750,000 ",2020,
Felipe Gutiérrez,cl, CHI,Sporting Kansas City,29,"$31,731 ","$1,650,000 ",2020,
Vako,ge, GEO,San Jose Earthquakes,27,"$28,365 ","$1,475,004 ",2020,
Johnny Russell,sct, SCO,Sporting Kansas City,29,"$27,885 ","$1,450,000 ",2020,
Ezequiel Barco,ar, ARG,Atlanta United,20,"$27,404 ","$1,425,000 ",2020,
Gyasi Zardes,us, USA,Columbus Crew,28,"$27,340 ","$1,421,667 ",2020,
Saphir Taïder,dz, ALG,Montreal Impact,27,"$26,923 ","$1,400,000 ",2020,
Fanendo Adi,ng, NGA,Columbus Crew,29,"$26,154 ","$1,360,008 ",2020,
Dom Dwyer,us, USA,Orlando City SC,29,"$25,385 ","$1,320,000 ",2020,
Aleksandar Katai,rs, SRB,LA Galaxy,28,"$24,231 ","$1,260,000 ",2020,
Bojan Krkić,es, ESP,Montreal Impact,29,"$23,709 ","$1,232,877 ",2020,
Alejandro Bedoya,us, USA,Philadelphia Union,32,"$23,077 ","$1,200,000 ",2020,
Ali Adnan Kadhim,iq, IRQ,Vancouver Whitecaps,26,"$23,077 ","$1,200,000 ",2020,
Cristian Pavón,ar, ARG,LA Galaxy,24,"$23,077 ","$1,200,000 ",2020,
Mauro Manotas,co, COL,Houston Dynamo,24,"$21,155 ","$1,100,050 ",2020,
Aljaž Struna,si, SVN,Houston Dynamo,29,"$21,154 ","$1,100,000 ",2020,
Andreu Fontàs,es, ESP,Sporting Kansas City,30,"$20,192 ","$1,050,000 ",2020,
Alan Pulido,mx, MEX,Sporting Kansas City,28,"$20,000 ","$1,040,000 ",2020,
Brian Rodríguez,uy, URU,LAFC,19,"$20,000 ","$1,040,000 ",2020,
Lucas Cavallini,ca, CAN,Vancouver Whitecaps,27,"$20,000 ","$1,040,000 ",2020,
Jürgen Locadia,nl, NED,FC Cincinnati,26,"$19,769 ","$1,028,000 ",2020,
Sacha Kljestan,us, USA,LA Galaxy,34,"$19,712 ","$1,025,000 ",2020,
David Accam,gh, GHA,Nashville SC,29,"$19,423 ","$1,010,004 ",2020,
Diego Rossi,uy, URU,LAFC,21,"$19,231 ","$1,000,000 ",2020,
Everton Luiz,br, BRA,Real Salt Lake,31,"$19,231 ","$1,000,000 ",2020,
Robert Berić,si, SVN,Chicago Fire,28,"$19,115 ","$994,000 ",2020,
Damir Kreilach,hr, CRO,Real Salt Lake,30,"$18,630 ","$968,769 ",2020,
Mauricio Pereyra,uy, URU,Orlando City SC,29,"$18,462 ","$960,000 ",2020,
Gonzalo Martínez,,,Atlanta United,26,"$17,308 ","$900,000 ",2020,
Ilie Sánchez,es, ESP,Sporting Kansas City,29,"$17,308 ","$900,000 ",2020,
Maximiliano Urruti,ar, ARG,Montreal Impact,28,"$17,308 ","$900,000 ",2020,
Michael Mancienne,sc,sc SEY,New England Revolution,32,"$16,955 ","$881,676 ",2020,
Jesús Medina,py, PAR,New York City FC,22,"$16,750 ","$871,000 ",2020,
Alexander Ring,fi, FIN,New York City FC,28,"$16,346 ","$850,000 ",2020,
Adama Diomande,no, NOR,LAFC,29,"$16,346 ","$850,000 ",2020,
Robin Lod,fi, FIN,Minnesota United,26,"$16,346 ","$849,996 ",2020,
Reto Ziegler,ch, SUI,FC Dallas,34,"$15,769 ","$820,000 ",2020,
Pedro Santos,pt, POR,Columbus Crew,31,"$15,722 ","$817,560 ",2020,
Jonathan Mensah,gh, GHA,Columbus Crew,29,"$15,385 ","$800,004 ",2020,
Roger Espinoza,hn, HON,Sporting Kansas City,33,"$15,385 ","$800,000 ",2020,
Alejandro Romero Gamarra,py, PAR,New York Red Bulls,25,"$15,385 ","$800,000 ",2020,
Chris Wondolowski,us, USA,San Jose Earthquakes,37,"$15,385 ","$800,000 ",2020,
Héber,br, BRA,New York City FC,28,"$15,173 ","$789,000 ",2020,
Edison Flores,pe, PER,DC United,25,"$15,000 ","$780,000 ",2020,
Lucas Zelarayán,am, ARM,Columbus Crew,27,"$15,000 ","$780,000 ",2020,
Matías Pellegrini,ar, ARG,Inter Miami,19,"$15,000 ","$780,000 ",2020,
Jarosław Niezgoda,pl, POL,Portland Timbers,24,"$15,000 ","$780,000 ",2020,
Yimmi Chará,co, COL,Portland Timbers,28,"$15,000 ","$780,000 ",2020,
Yuya Kubo,jp, JPN,FC Cincinnati,26,"$15,000 ","$780,000 ",2020,
Aaron Long,us, USA,New York Red Bulls,27,"$14,808 ","$770,000 ",2020,
Fredy Montero,co, COL,Vancouver Whitecaps,32,"$14,769 ","$768,000 ",2020,
Jonathan Osorio,ca, CAN,Toronto FC,27,"$14,423 ","$750,000 ",2020,
Kei Kamara,sl, SLE,Colorado Rapids,35,"$14,423 ","$750,000 ",2020,
Ján Greguš,sk, SVK,Minnesota United,29,"$14,423 ","$750,000 ",2020,
Larrys Mabiala,cd, COD,Portland Timbers,32,"$14,423 ","$750,000 ",2020,
Kendall Waston,cr, CRC,FC Cincinnati,32,"$14,423 ","$750,000 ",2020,
Román Torres,pa, PAN,Inter Miami,33,"$14,231 ","$740,000 ",2020,
Tim Parker,us, USA,New York Red Bulls,26,"$14,196 ","$738,200 ",2020,
Andrés Ríos,ar, ARG,San Jose Earthquakes,30,"$14,019 ","$729,000 ",2020,
Marcelo Silva,uy, URU,Real Salt Lake,30,"$13,942 ","$725,004 ",2020,
Giancarlo González,cr, CRC,LA Galaxy,31,"$13,865 ","$721,000 ",2020,
Dax McCarty,us, USA,Nashville SC,32,"$13,462 ","$700,000 ",2020,
Daniel Royer,at, AUT,New York Red Bulls,29,"$13,462 ","$700,000 ",2020,
Rudy Camacho,fr, FRA,Montreal Impact,28,"$13,462 ","$700,000 ",2020,
Josh Sims,eng, ENG,New York Red Bulls,22,"$13,384 ","$695,968 ",2020,
Brad Guzan,us, USA,Atlanta United,35,"$13,077 ","$680,004 ",2020,
Paul Arriola,us, USA,DC United,24,"$12,981 ","$675,000 ",2020,
Darlington Nagbe,us, USA,Columbus Crew,29,"$12,798 ","$665,500 ",2020,
Carlos Fierro,mx, MEX,San Jose Earthquakes,25,"$12,692 ","$660,000 ",2020,
Hwang In-beom,kr,kr KOR,Vancouver Whitecaps,23,"$12,596 ","$655,000 ",2020,
Alberth Elis,hn, HON,Houston Dynamo,23,"$12,507 ","$650,340 ",2020,
Maxime Chanot,lu,lu LUX,New York City FC,30,"$12,500 ","$650,000 ",2020,
Osvaldo Alonso,cu, CUB,Minnesota United,34,"$12,500 ","$650,000 ",2020,
Yordy Reyna,pe, PER,Vancouver Whitecaps,26,"$12,500 ","$650,000 ",2020,
Sam Johnson,lr,lr LBR,Real Salt Lake,26,"$12,500 ","$650,000 ",2020,
Graham Zusi,us, USA,Sporting Kansas City,33,"$12,019 ","$625,000 ",2020,
Adam Buksa,pl, POL,New England Revolution,23,"$12,000 ","$624,000 ",2020,
Yamil Asad,ar, ARG,DC United,25,"$12,000 ","$624,000 ",2020,
João Paulo Mior,br, BRA,Seattle Sounders FC,28,"$11,942 ","$621,000 ",2020,
Omar Gonzalez,us, USA,Toronto FC,31,"$11,923 ","$620,000 ",2020,
Jamiro Monteiro,cv,cv CPV,Philadelphia Union,26,"$11,885 ","$618,000 ",2020,
Christian Ramirez,us, USA,Houston Dynamo,28,"$11,538 ","$600,000 ",2020,
Chris Mavinga,cd, COD,Toronto FC,28,"$11,538 ","$600,000 ",2020,
Bryan Acosta,hn, HON,FC Dallas,26,"$11,538 ","$600,000 ",2020,
Walker Zimmerman,us, USA,Nashville SC,26,"$11,538 ","$600,000 ",2020,
Nicolas Benezet,fr, FRA,Colorado Rapids,28,"$11,538 ","$600,000 ",2020,
Sergio Santos Gomes,br, BRA,Philadelphia Union,25,"$11,538 ","$600,000 ",2020,
Alexander Callens,pe, PER,New York City FC,27,"$11,538 ","$600,000 ",2020,
Jorge Villafaña,us, USA,Portland Timbers,30,"$11,538 ","$600,000 ",2020,
Francisco Calvo,cr, CRC,Chicago Fire,27,"$11,538 ","$600,000 ",2020,
Cristian Roldan,us, USA,Seattle Sounders FC,24,"$11,462 ","$596,000 ",2020,
Guram Kashia,ge, GEO,San Jose Earthquakes,32,"$11,346 ","$590,000 ",2020,
Wilfried Zahibo,cf,cf CTA,New England Revolution,26,"$11,212 ","$583,000 ",2020,
Juan Agudelo,us, USA,Inter Miami,27,"$11,058 ","$575,000 ",2020,
Matt Besler,us, USA,Sporting Kansas City,32,"$11,058 ","$574,998 ",2020,
Diego Chará,co, COL,Portland Timbers,33,"$11,000 ","$572,000 ",2020,
Gustav Svensson,se, SWE,Seattle Sounders FC,32,"$10,962 ","$570,000 ",2020,
Matt Hedges,us, USA,FC Dallas,29,"$10,577 ","$550,008 ",2020,
Florian Jungwirth,de, GER,San Jose Earthquakes,31,"$10,577 ","$550,008 ",2020,
Haris Medunjanin,ba, BIH,FC Cincinnati,34,"$10,577 ","$550,008 ",2020,
Kellyn Acosta,us, USA,Colorado Rapids,24,"$10,577 ","$550,000 ",2020,
Steve Birnbaum,us, USA,DC United,29,"$10,577 ","$550,000 ",2020,
Gerso,,,Sporting Kansas City,28,"$10,577 ","$550,000 ",2020,
Kelvin Leerdam,sr,sr SUR,Seattle Sounders FC,29,"$10,577 ","$550,000 ",2020,
Joe Corona,us, USA,LA Galaxy,29,"$10,577 ","$550,000 ",2020,
Maikel van der Werff,nl, NED,FC Cincinnati,30,"$10,577 ","$550,000 ",2020,
Johan Kappelhof,nl, NED,Chicago Fire,29,"$10,577 ","$550,000 ",2020,
Wil Trapp,us, USA,Inter Miami,27,"$10,577 ","$549,996 ",2020,
Jorge Moreira,py, PAR,Portland Timbers,29,"$10,490 ","$545,455 ",2020,
Ignacio Piatti,ar, ARG,Montreal Impact,35,"$10,192 ","$530,000 ",2020,
Lee Nguyen,us, USA,Inter Miami,33,"$10,096 ","$525,000 ",2020,
Oriol Rosell,es, ESP,Orlando City SC,27,"$10,048 ","$522,500 ",2020,
Hany Mukhtar,de, GER,Nashville SC,24,"$10,000 ","$520,000 ",2020,
Yeimar Gómez Andrade,co, COL,Seattle Sounders FC,27,"$10,000 ","$520,000 ",2020,
Julián Carranza,ar, ARG,Inter Miami,19,"$10,000 ","$520,000 ",2020,
Darren Mattocks,jm, JAM,FC Cincinnati,29,"$10,000 ","$520,000 ",2020,
Antonio Carlos,br, BRA,Orlando City SC,26,"$9,981 ","$519,000 ",2020,
